locusName	Best_hit_arabi_name	arabi-symbol	arabi-defline	at_tf_family	pt_tf_family
Potri.003G098300	-	-	-	-	-
Potri.003G098400	AT5G45620.1	-	Proteasome component (PCI) domain protein	-	-
Potri.003G098500	-	-	-	-	-
Potri.003G098600	AT1G31940.1	-	-	-	-
Potri.003G098700	AT5G45610.1	SUV2	protein dimerizations	-	-
Potri.003G098800	AT5G63120.2	-	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.003G098900	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein	-	-
Potri.003G099000	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein	-	-
Potri.003G099100	AT3G07040.1	RPM1,RPS3	NB-ARC domain-containing disease resistance protein	-	-
Potri.003G099200	AT1G58602.2	-	LRR and NB-ARC domains-containing disease resistance protein	-	-
Potri.003G099300	AT1G32050.1	-	SCAMP family protein	-	-
Potri.003G099400	AT1G32060.1	PRK	phosphoribulokinase	-	-
Potri.003G099500	-	-	-	-	-
Potri.003G099600	AT1G32080.1	-	membrane protein, putative	-	-
Potri.003G099700	AT4G19010.1	-	AMP-dependent synthetase and ligase family protein	-	-
Potri.003G099800	AT1G32090.1	-	early-responsive to dehydration stress protein (ERD4)	-	-
Potri.003G099900	AT5G45590.1	-	Ribosomal protein L35	-	-
Potri.003G100000	AT4G19020.1	CMT2	chromomethylase 2	-	-
Potri.003G100100	AT5G45580.1	-	Homeodomain-like superfamily protein	G2-like	G2-like
Potri.003G100200	AT1G32100.1	ATPRR1,PRR1	pinoresinol reductase 1	-	-
Potri.003G100300	AT5G48790.1	-	Domain of unknown function (DUF1995)	-	-
Potri.003G100400	-	-	-	-	-
Potri.003G100500	AT2G15490.1	UGT73B4	UDP-glycosyltransferase 73B4	-	-
Potri.003G100600	AT4G19040.1	EDR2	ENHANCED DISEASE RESISTANCE 2	-	-
Potri.003G100700	AT1G32120.1	-	-	-	-
Potri.003G100800	AT4G37740.1	AtGRF2,GRF2	growth-regulating factor 2	GRF	GRF
Potri.003G100900	AT4G27890.1	-	HSP20-like chaperones superfamily protein	-	-
Potri.003G101000	AT4G19050.1	-	NB-ARC domain-containing disease resistance protein	-	-
Potri.003G101100	AT5G40600.1	-	-	-	-
Potri.003G101200	AT1G55790.1	-	Domain of unknown function (DUF2431)	-	-
Potri.003G101300	AT5G14890.1	-	NHL domain-containing protein	-	-
Potri.003G101400	AT2G25010.1	-	Aminotransferase-like, plant mobile domain family protein	-	-
Potri.003G101500	AT1G31880.1	BRX,NLM9	DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein	-	-
Potri.003G101600	AT4G19110.1	-	Protein kinase superfamily protein	-	-
Potri.003G101700	-	-	-	-	-
Potri.003G101800	AT2G42690.1	-	alpha/beta-Hydrolases superfamily protein	-	-
Potri.003G101900	-	-	-	-	-
Potri.003G102000	-	-	-	-	-
Potri.003G102100	-	-	-	-	-
Potri.003G102200	-	-	-	-	-
Potri.003G102300	-	-	-	-	-
Potri.003G102400	AT1G31850.3	-	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-	-
Potri.003G102500	-	-	-	-	-
Potri.003G102600	AT1G31850.3	-	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-	-
Potri.003G102700	AT5G45400.1	ATRPA70C,RPA70C	Replication factor-A protein 1-related	-	-
Potri.003G102800	AT3G49010.2	ATBBC1,BBC1,RSU2	breast basic conserved 1	-	-
Potri.003G102900	AT1G61700.1	-	RNA polymerases N / 8 kDa subunit	-	-
Potri.003G103000	AT4G19140.1	-	-	-	-
Potri.003G103100	-	-	-	-	-
Potri.003G103200	AT3G17380.1	-	TRAF-like family protein	-	-
Potri.003G103300	AT5G45390.1	CLPP4,NCLPP4	CLP protease P4	-	-
Potri.003G103400	AT4G19150.1	-	Ankyrin repeat family protein	-	-
Potri.003G103500	AT1G69490.1	ANAC029,ATNAP,NAP	NAC-like, activated by AP3/PI	NAC	NAC
Potri.003G103600	AT1G31830.1	-	Amino acid permease family protein	-	-
Potri.003G103700	AT1G31812.1	ACBP,ACBP6	acyl-CoA-binding protein 6	-	-
Potri.003G103800	AT5G07740.1	-	actin binding	-	-
Potri.003G103900	AT1G32350.1	AOX1D	alternative oxidase 1D	-	-
Potri.003G104000	AT5G45380.1	ATDUR3,DUR3	solute:sodium symporters;urea transmembrane transporters	-	-
Potri.003G104100	AT3G23640.1	HGL1	heteroglycan glucosidase 1	-	-
Potri.003G104200	AT1G33520.1	MOS2	D111/G-patch domain-containing protein	-	-
Potri.003G104300	AT1G31360.1	ATRECQ2,MED34,RECQL2	RECQ helicase L2	-	-
Potri.003G104400	AT5G61230.1	-	Ankyrin repeat family protein	-	-
Potri.003G104500	AT2G38250.1	-	Homeodomain-like superfamily protein	Trihelix	Trihelix
Potri.003G104600	AT1G64940.1	CYP89A6	cytochrome P450, family 87, subfamily A, polypeptide 6	-	-
Potri.003G104700	AT5G41880.1	POLA3,POLA4	DNA primases;DNA primases	-	-
Potri.003G104800	-	-	-	-	-
Potri.003G104900	AT1G04170.1	EIF2 GAMMA	eukaryotic translation initiation factor 2 gamma subunit	-	-
Potri.003G105000	AT1G31420.2	FEI1	Leucine-rich repeat protein kinase family protein	-	-
Potri.003G105100	AT1G31410.1	-	putrescine-binding periplasmic protein-related	-	-
Potri.003G105200	AT4G34660.1	-	SH3 domain-containing protein	-	-
Potri.003G105300	AT2G35615.1	-	Eukaryotic aspartyl protease family protein	-	-
Potri.003G105400	AT1G61590.1	-	Protein kinase superfamily protein	-	-
Potri.003G105500	AT4G19460.1	-	UDP-Glycosyltransferase superfamily protein	-	-
Potri.003G105600	AT5G45275.1	-	Major facilitator superfamily protein	-	-
Potri.003G105700	AT4G19440.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.003G105800	-	-	-	-	-
Potri.003G105900	AT4G19430.1	-	-	-	-
Potri.003G106000	AT1G31500.1	-	DNAse I-like superfamily protein	-	-
Potri.003G106100	AT5G47650.1	ATNUDT2,ATNUDX2,NUDT2	nudix hydrolase homolog 2	-	-
Potri.003G106200	AT1G17760.1	ATCSTF77,CSTF77	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.003G106300	AT1G31600.3	-	RNA-binding (RRM/RBD/RNP motifs) family protein	-	-
Potri.003G106400	AT1G31650.1	ATROPGEF14,ROPGEF14	RHO guanyl-nucleotide exchange factor 14	-	-
Potri.003G106500	AT5G45300.1	BAM8,BMY2	beta-amylase 2	BES1	BES1
Potri.003G106600	AT5G45290.1	-	RING/U-box superfamily protein	-	-
Potri.003G106700	AT4G19400.1	-	Profilin family protein	-	-
Potri.003G106800	AT5G51330.1	DYAD,SWI1	SWITCH1	-	-
Potri.003G106900	AT4G23340.1	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-	-
Potri.003G107000	AT5G61500.1	ATATG3,ATG3	autophagy 3 (APG3)	-	-
Potri.003G107100	AT4G39730.1	-	Lipase/lipooxygenase, PLAT/LH2 family protein	-	-
Potri.003G107200	AT5G51300.2	-	splicing factor-related	-	-
Potri.003G107300	AT4G25180.1	-	RNA polymerase III RPC4	-	-
Potri.003G107400	AT4G25170.1	-	Uncharacterised conserved protein (UCP012943)	-	-
Potri.003G107500	AT5G07630.1	-	lipid transporters	-	-
Potri.003G107600	AT5G61480.1	PXY	Leucine-rich repeat protein kinase family protein	-	-
Potri.003G107700	AT5G61460.1	ATRAD18,MIM,SMC6B	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.003G107800	AT2G43090.1	-	Aconitase/3-isopropylmalate dehydratase protein	-	-
Potri.003G107900	AT5G07670.1	-	RNI-like superfamily protein	-	-
Potri.003G108000	AT5G61450.1	-	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.003G108100	AT1G76520.1	-	Auxin efflux carrier family protein	-	-
Potri.003G108200	AT4G08850.1	-	Leucine-rich repeat receptor-like protein kinase family protein	-	-
Potri.003G108300	-	-	-	-	-
Potri.003G108400	AT5G62410.1	ATCAP-E1,ATSMC4,SMC2,TTN3	structural maintenance of chromosomes 2	-	-
Potri.003G108500	AT3G47440.1	TIP5;1	tonoplast intrinsic protein 5;1	-	-
Potri.003G108600	-	-	-	-	-
Potri.003G108700	AT5G20110.1	-	Dynein light chain type 1 family protein	-	-
Potri.003G108800	AT5G51400.1	-	PLAC8 family protein	-	-
Potri.003G108900	AT3G47430.1	PEX11B	peroxin 11B	-	-
Potri.003G109000	AT5G51410.3	-	LUC7 N_terminus domain-containing protein	-	-
Potri.003G109100	AT5G51430.1	EYE	conserved oligomeric Golgi complex component-related / COG complex component-related	-	-
Potri.003G109200	AT4G25200.1	ATHSP23.6-MITO,HSP23.6-MITO	mitochondrion-localized small heat shock protein 23.6	-	-
Potri.003G109300	AT3G47420.1	ATPS3,PS3	phosphate starvation-induced gene 3	-	-
Potri.003G109400	AT4G25230.2	RIN2	RPM1 interacting protein 2	-	-
Potri.003G109500	-	-	-	-	-
Potri.003G109600	ATCG00860.1	-	Chloroplast Ycf2;ATPase, AAA type, core	-	-
Potri.003G109700	AT2G35060.1	KUP11	K+ uptake permease 11	-	-
Potri.003G109800	AT2G35060.1	KUP11	K+ uptake permease 11	-	-
Potri.003G109900	AT1G45332.1	-	Translation elongation factor EFG/EF2 protein	-	-
Potri.003G110000	AT2G35050.1	-	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	-	-
Potri.003G110100	AT5G44800.1	CHR4,PKR1	chromatin remodeling 4	-	-
Potri.003G110200	AT4G19980.1	-	-	-	-
Potri.003G110300	AT4G15090.1	FAR1	FRS (FAR1 Related Sequences) transcription factor family	FAR1	FAR1
Potri.003G110400	-	-	-	-	-
Potri.003G110500	AT2G35730.1	-	Heavy metal transport/detoxification superfamily protein 	-	-
Potri.003G110600	AT3G02065.3	-	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.003G110700	AT4G17250.1	-	-	-	-
Potri.003G110800	AT4G00150.1	ATHAM3,HAM3	GRAS family transcription factor	GRAS	GRAS
Potri.003G110900	AT4G16520.1	ATG8F	Ubiquitin-like superfamily protein	-	-
Potri.003G111000	-	-	-	-	-
Potri.003G111100	AT4G16510.1	-	YbaK/aminoacyl-tRNA synthetase-associated domain	-	-
Potri.003G111200	AT4G17260.1	-	Lactate/malate dehydrogenase family protein	-	-
Potri.003G111300	AT1G62500.1	-	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-	-
Potri.003G111400	AT4G12520.1	-	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-	-
Potri.003G111500	AT1G12110.1	ATNRT1,B-1,CHL1,CHL1-1,NRT1,NRT1.1	nitrate transporter 1.1	-	-
Potri.003G111600	AT4G22540.1	ORP2A	OSBP(oxysterol binding protein)-related protein 2A	-	-
Potri.003G111700	AT4G22550.1	-	Phosphatidic acid phosphatase (PAP2) family protein	-	-
Potri.003G111800	AT4G22560.1	-	-	-	-
Potri.003G111900	AT2G30590.1	WRKY21	WRKY DNA-binding protein 21	WRKY	WRKY
Potri.003G112000	AT1G62530.1	-	Plant protein of unknown function (DUF863)	-	-
Potri.003G112100	AT1G62600.1	-	Flavin-binding monooxygenase family protein	-	-
Potri.003G112200	AT4G22580.1	-	Exostosin family protein	-	-
Potri.003G112300	-	-	-	-	-
Potri.003G112400	AT4G12430.1	-	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	-	-
Potri.003G112500	AT1G12230.1	-	Aldolase superfamily protein	-	-
Potri.003G112600	AT1G12240.1	ATBETAFRUCT4,VAC-INV	Glycosyl hydrolases family 32 protein	-	-
Potri.003G112700	AT4G12420.2	SKU5	Cupredoxin superfamily protein	-	-
Potri.003G112800	AT2G45190.1	AFO,FIL,YAB1	Plant-specific transcription factor YABBY family protein	YABBY	YABBY
Potri.003G112900	AT1G12250.2	-	Pentapeptide repeat-containing protein	-	-
Potri.003G113000	AT1G12260.1	ANAC007,EMB2749,NAC007,VND4	NAC 007	NAC	NAC
Potri.003G113100	AT4G22620.1	-	SAUR-like auxin-responsive protein family 	-	-
Potri.003G113200	AT5G56720.1	-	Lactate/malate dehydrogenase family protein	-	-
Potri.003G113300	AT1G62710.1	BETA-VPE,BETAVPE	beta vacuolar processing enzyme	-	-
Potri.003G113400	AT4G12400.2	-	stress-inducible protein, putative	-	-
Potri.003G113500	AT1G62750.1	ATSCO1,ATSCO1/CPEF-G,SCO1	Translation elongation factor EFG/EF2 protein	-	-
Potri.003G113600	AT1G62760.1	-	Plant invertase/pectin methylesterase inhibitor superfamily protein	-	-
Potri.003G113700	AT4G12390.1	PME1	pectin methylesterase inhibitor 1	-	-
Potri.003G113800	AT1G54570.1	-	Esterase/lipase/thioesterase family protein	-	-
Potri.003G113900	AT1G62790.1	-	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-	-
Potri.003G114000	AT3G17880.1	ATHIP2,ATTDX,HIP,TDX	tetraticopeptide domain-containing thioredoxin	-	-
Potri.003G114100	AT4G12350.1	AtMYB42,MYB42	myb domain protein 42	MYB	MYB
Potri.003G114200	AT4G12340.1	-	copper ion binding	-	-
Potri.003G114300	-	-	-	-	-
Potri.003G114400	AT4G12320.1	CYP706A6	cytochrome P450, family 706, subfamily A, polypeptide 6	-	-
Potri.003G114500	AT2G29200.1	APUM1,PUM1	pumilio 1	-	-
Potri.003G114600	AT4G00110.1	GAE3	UDP-D-glucuronate 4-epimerase 3	-	-
Potri.003G114700	AT4G12240.1	-	zinc finger (C2H2 type) family protein	C2H2	-
Potri.003G114800	AT1G07770.2	RPS15A	ribosomal protein S15A	-	-
Potri.003G114900	AT4G12230.1	-	alpha/beta-Hydrolases superfamily protein	-	-
Potri.003G115000	AT1G12310.1	-	Calcium-binding EF-hand family protein	-	-
Potri.003G115100	AT4G22730.1	-	Leucine-rich repeat protein kinase family protein	-	-
Potri.003G115200	AT3G60780.1	-	Protein of unknown function (DUF1442)	-	-
Potri.003G115300	AT1G62850.2	-	Class I peptide chain release factor	-	-
Potri.003G115400	AT4G22740.2	-	glycine-rich protein	-	-
Potri.003G115500	AT4G02570.1	ATCUL1,AXR6,CUL1	cullin 1	-	-
Potri.003G115600	AT3G60800.1	-	DHHC-type zinc finger family protein	-	-
Potri.003G115700	AT1G12330.1	-	-	-	-
Potri.003G115800	AT1G12360.1	KEU	Sec1/munc18-like (SM) proteins superfamily	-	-
Potri.003G115900	AT1G62870.1	-	-	-	-
Potri.003G116000	AT4G12110.1	ATSMO1,ATSMO1-1,SMO1-1	sterol-4alpha-methyl oxidase 1-1	-	-
Potri.003G116100	AT4G22760.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.003G116200	AT4G22758.1	-	-	-	-
Potri.003G116300	AT2G27830.1	-	-	-	-
Potri.003G116400	AT1G12390.1	-	Cornichon family protein	-	-
Potri.003G116500	AT4G12080.1	AHL1,ATAHL1	AT-hook motif nuclear-localized protein 1	-	-
Potri.003G116600	AT1G12420.1	ACR8	ACT domain repeat 8	-	-
Potri.003G116700	AT4G22790.1	-	MATE efflux family protein	-	-
Potri.003G116800	AT1G24620.1	-	EF hand calcium-binding protein family	-	-
Potri.003G116900	AT4G22810.1	-	Predicted AT-hook DNA-binding family protein	-	-
Potri.003G117000	AT1G12430.1	ARK3,PAK	armadillo repeat kinesin 3	-	-
Potri.003G117100	AT4G12040.2	-	A20/AN1-like zinc finger family protein	-	-
Potri.003G117200	AT3G60890.2	ZPR2	protein binding	-	-
Potri.003G117300	AT4G22840.1	-	Sodium Bile acid symporter family	-	-
Potri.003G117400	AT1G12450.1	-	SNARE associated Golgi protein family	-	-
Potri.003G117500	AT1G12460.1	-	Leucine-rich repeat protein kinase family protein	-	-
Potri.003G117600	-	-	-	-	-
Potri.003G117700	AT1G62960.1	ACS10	ACC synthase 10	-	-
Potri.003G117800	AT4G22860.1	-	Cell cycle regulated microtubule associated protein	-	-
Potri.003G117900	AT3G17675.1	-	Cupredoxin superfamily protein	-	-
Potri.003G118000	AT1G12500.1	-	Nucleotide-sugar transporter family protein	-	-
Potri.003G118100	AT4G37740.1	AtGRF2,GRF2	growth-regulating factor 2	GRF	GRF
Potri.003G118200	AT2G45550.1	CYP76C4	cytochrome P450, family 76, subfamily C, polypeptide 4	-	-
Potri.003G118300	AT4G11980.1	ATNUDT14,ATNUDX14,NUDX14	nudix hydrolase homolog 14	-	-
Potri.003G118400	AT1G12520.1	ATCCS,CCS	copper chaperone for SOD1	-	-
Potri.003G118500	AT1G04110.1	SDD1	Subtilase family protein	-	-
Potri.003G118600	AT3G58630.1	-	sequence-specific DNA binding transcription factors	Trihelix	Trihelix
Potri.003G118700	AT1G04110.1	SDD1	Subtilase family protein	-	-
Potri.003G118800	AT1G04110.1	SDD1	Subtilase family protein	-	-
Potri.003G118900	AT1G12530.1	-	-	-	-
Potri.003G119000	AT2G45630.2	-	D-isomer specific 2-hydroxyacid dehydrogenase family protein	-	-
Potri.003G119100	AT4G22880.1	ANS,LDOX,TDS4,TT18	leucoanthocyanidin dioxygenase	-	-
Potri.003G119200	AT4G22890.2	PGR5-LIKE A	PGR5-LIKE A	-	-
Potri.003G119300	AT2G45640.1	ATSAP18,SAP18	SIN3 associated polypeptide P18	-	-
Potri.003G119400	AT4G11950.1	-	Protein of unknown function (DUF1191)	-	-
Potri.003G119500	AT4G22910.1	CCS52A1,FZR2	FIZZY-related 2	-	-
Potri.003G119600	AT4G22920.1	ATNYE1,NYE1	non-yellowing 1	-	-
Potri.003G119700	AT4G22950.1	AGL19,GL19	AGAMOUS-like 19	MIKC_MADS	M-type_MADS
Potri.003G119800	AT4G11860.1	-	Protein of unknown function (DUF544)     	-	-
Potri.003G119900	AT1G48120.1	-	hydrolases;protein serine/threonine phosphatases	-	-
Potri.003G120000	AT1G63000.1	NRS/ER,UER1	nucleotide-rhamnose synthase/epimerase-reductase	-	-
Potri.003G120100	AT5G59190.1	-	subtilase family protein	-	-
Potri.003G120200	AT2G45680.1	-	TCP family transcription factor 	TCP	TCP
Potri.003G120300	AT4G11820.2	EMB2778,FKP1,HMGS,MVA1	hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase	-	-
Potri.003G120400	AT4G11820.2	EMB2778,FKP1,HMGS,MVA1	hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase	-	-
Potri.003G120500	AT5G51920.1	-	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	-	-
Potri.003G120600	AT4G22990.2	-	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein	-	-
Potri.003G120700	-	-	-	-	-
Potri.003G120800	AT1G12580.1	PEPKR1	phosphoenolpyruvate carboxylase-related kinase 1	-	-
Potri.003G120900	AT4G11790.1	-	Pleckstrin homology (PH) domain superfamily protein	-	-
Potri.003G121000	AT4G23010.3	ATUTR2,UTR2	UDP-galactose transporter 2	-	-
Potri.003G121100	AT4G23020.2	-	-	-	-
Potri.003G121200	AT5G52020.1	-	Integrase-type DNA-binding superfamily protein	ERF	ERF
Potri.003G121300	AT1G11260.1	ATSTP1,STP1	sugar transporter 1	-	-
Potri.003G121400	AT4G23030.1	-	MATE efflux family protein	-	-
Potri.003G121500	AT5G52060.1	ATBAG1,BAG1	BCL-2-associated athanogene 1	-	-
Potri.003G121600	AT4G20360.1	ATRAB8D,ATRABE1B,RABE1b	RAB GTPase homolog E1B	-	-
Potri.003G121700	AT1G12640.1	-	MBOAT (membrane bound O-acyl transferase) family protein	-	-
Potri.003G121800	AT5G62090.1	SLK2	SEUSS-like 2	-	-
Potri.003G121900	AT1G12710.1	AtPP2-A12,PP2-A12	phloem protein 2-A12	-	-
Potri.003G122000	AT5G64620.1	ATC/VIF2,C/VIF2	cell wall / vacuolar inhibitor of fructosidase 2	-	-
Potri.003G122100	AT4G26965.1	-	NADH:ubiquinone oxidoreductase, 17.2kDa subunit	-	-
Potri.003G122200	AT5G48120.1	-	ARM repeat superfamily protein	-	-
Potri.003G122300	AT4G11740.1	SAY1	Ubiquitin-like superfamily protein	-	-
Potri.003G122400	AT1G63100.1	-	GRAS family transcription factor	GRAS	GRAS
Potri.003G122500	AT1G12740.1	CYP87A2	cytochrome P450, family 87, subfamily A, polypeptide 2	-	-
Potri.003G122600	AT4G11720.1	GCS1,HAP2	hapless 2	-	-
Potri.003G122700	AT4G23050.2	-	PAS domain-containing protein tyrosine kinase family protein	-	-
Potri.003G122800	AT4G23060.1	IQD22	IQ-domain 22	-	-
Potri.003G122900	AT1G63120.1	ATRBL2,RBL2	RHOMBOID-like 2	-	-
Potri.003G123000	AT2G37320.1	-	Tetratricopeptide repeat (TPR)-like superfamily protein	-	-
Potri.003G123100	-	-	-	-	-
Potri.003G123200	AT1G63160.1	RFC2	replication factor C 2	-	-
Potri.003G123300	AT4G11680.1	-	Zinc finger, C3HC4 type (RING finger) family protein	-	-
Potri.003G123400	-	-	-	-	-
Potri.003G123500	AT3G47670.1	-	Plant invertase/pectin methylesterase inhibitor superfamily protein	-	-
Potri.003G123600	AT1G12770.1	EMB1586,ISE1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	-
Potri.003G123700	AT1G12780.1	ATUGE1,UGE1	UDP-D-glucose/UDP-D-galactose 4-epimerase 1	-	-
Potri.003G123800	AT4G32730.2	ATMYB3R-1,ATMYB3R1,MYB3R-1,MYB3R1,PC-MYB1	Homeodomain-like protein	MYB	MYB
Potri.003G123900	AT4G20330.1	-	Transcription initiation factor TFIIE, beta subunit	-	-
Potri.003G124000	-	-	-	-	-
Potri.003G124100	AT1G63250.1	-	DEA(D/H)-box RNA helicase family protein	-	-
Potri.003G124200	AT1G12800.1	-	Nucleic acid-binding, OB-fold-like protein	-	-
Potri.003G124300	AT3G61230.1	-	GATA type zinc finger transcription factor family protein	-	-
Potri.003G124400	AT5G23750.1	-	Remorin family protein	-	-
Potri.003G124500	AT1G08970.2	HAP5C,NF-YC9	nuclear factor Y, subunit C9	NF-YC	NF-YC
Potri.003G124600	AT1G63300.1	-	Myosin heavy chain-related protein	-	-
Potri.003G124700	AT5G41190.1	-	-	-	-
Potri.003G124800	AT1G63430.1	-	Leucine-rich repeat protein kinase family protein	-	-
Potri.003G124900	-	-	-	-	-
Potri.003G125000	AT5G23850.1	-	Arabidopsis thaliana protein of unknown function (DUF821)	-	-
Potri.003G125100	AT1G01490.2	-	Heavy metal transport/detoxification superfamily protein 	-	-
Potri.003G125200	AT1G63410.1	-	Protein of unknown function (DUF567)	-	-
Potri.003G125300	AT3G14260.1	-	Protein of unknown function (DUF567)	-	-
Potri.003G125400	AT5G23860.2	TUB8	tubulin beta 8	-	-
Potri.003G125500	AT4G00680.1	ADF8	actin depolymerizing factor 8	-	-
Potri.003G125600	AT1G63440.1	HMA5	heavy metal atpase 5	-	-
Potri.003G125700	AT1G63440.1	HMA5	heavy metal atpase 5	-	-
Potri.003G125800	AT5G41240.1	ATGSTT2,GST10B,GSTT2	glutathione S-transferase THETA 2	-	-
Potri.003G125900	AT4G11610.1	-	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	-	-
Potri.003G126000	AT1G63450.1	RHS8	root hair specific 8	-	-
Potri.003G126100	AT4G11600.1	ATGPX6,GPX6,LSC803,PHGPX	glutathione peroxidase 6	-	-
Potri.003G126200	-	-	-	-	-
Potri.003G126300	AT1G12240.1	ATBETAFRUCT4,VAC-INV	Glycosyl hydrolases family 32 protein	-	-
Potri.003G126400	-	-	-	-	-
Potri.003G126500	AT1G63470.1	-	AT hook motif DNA-binding family protein	-	-
Potri.003G126600	AT1G63490.1	-	transcription factor jumonji (jmjC) domain-containing protein	-	-
Potri.003G126700	AT1G63500.1	-	Protein kinase protein with tetratricopeptide repeat domain	-	-
Potri.003G126800	AT5G12250.1	TUB6	beta-6 tubulin	-	-
Potri.003G126900	AT4G23100.1	ATECS1,CAD2,GSH1,GSHA,PAD2,RML1	glutamate-cysteine ligase	-	-
Potri.003G127000	-	-	-	-	-
Potri.003G127100	AT4G11570.2	-	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	-	-
Potri.003G127200	AT5G41270.1	-	-	-	-
Potri.003G127300	AT4G11560.1	-	bromo-adjacent homology (BAH) domain-containing protein	-	-
Potri.003G127400	AT4G11560.1	-	bromo-adjacent homology (BAH) domain-containing protein	-	-
Potri.003G127500	AT4G11450.1	-	Protein of unknown function (DUF3527)	-	-
Potri.003G127600	AT4G11440.1	-	Mitochondrial substrate carrier family protein	-	-
Potri.003G127700	AT5G55150.1	-	Protein of unknown function (DUF295)	-	-
Potri.003G127800	AT1G63640.2	-	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain	-	-
Potri.003G127900	AT4G23330.2	-	-	-	-
Potri.003G128000	AT5G41315.1	GL3,MYC6.2	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	bHLH	bHLH
Potri.003G128100	AT4G23340.1	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-	-
Potri.003G128200	AT1G63660.1	-	GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase, putative	-	-
Potri.003G128300	-	-	-	-	-
Potri.003G128400	AT5G41320.1	-	-	-	-
Potri.003G128500	AT1G63690.1	ATSPPL2,SPPL2	SIGNAL PEPTIDE PEPTIDASE-LIKE 2	-	-
Potri.003G128600	AT4G00430.1	PIP1;4,PIP1E,TMP-C	plasma membrane intrinsic protein 1;4	-	-
Potri.003G128700	AT4G11410.1	-	NAD(P)-binding Rossmann-fold superfamily protein	-	-
Potri.003G128800	AT4G23420.3	-	NAD(P)-binding Rossmann-fold superfamily protein	-	-
Potri.003G128900	AT4G11410.1	-	NAD(P)-binding Rossmann-fold superfamily protein	-	-
Potri.003G129000	AT1G63700.1	EMB71,MAPKKK4,YDA	Protein kinase superfamily protein	-	-
Potri.003G129100	AT1G63710.1	CYP86A7	cytochrome P450, family 86, subfamily A, polypeptide 7	-	-
Potri.003G129200	AT1G02260.1	-	Divalent ion symporter	-	-
Potri.003G129300	AT5G41330.1	-	BTB/POZ domain with WD40/YVTN repeat-like protein	-	-
Potri.003G129400	AT5G52430.1	-	hydroxyproline-rich glycoprotein family protein	-	-
Potri.003G129500	AT1G63770.3	-	Peptidase M1 family protein	-	-
Potri.003G129600	AT4G23440.1	-	Disease resistance protein (TIR-NBS class)	-	-
Potri.003G129700	AT1G63800.1	UBC5	ubiquitin-conjugating enzyme 5	-	-
Potri.003G129800	AT4G11400.1	-	ARID/BRIGHT DNA-binding domain;ELM2 domain protein	-	MYB_related
Potri.003G129900	AT5G41350.1	-	RING/U-box superfamily protein	-	-
Potri.003G130000	AT5G55090.1	MAPKKK15	mitogen-activated protein kinase kinase kinase 15	-	-
Potri.003G130100	AT1G75060.1	-	-	-	-
Potri.003G130200	-	-	-	-	-
Potri.003G130300	AT1G07350.1	-	RNA-binding (RRM/RBD/RNP motifs) family protein	-	-
Potri.003G130400	AT4G23460.1	-	Adaptin family protein	-	-
Potri.003G130500	AT5G41380.1	-	CCT motif family protein	-	-
Potri.003G130600	-	-	-	-	-
Potri.003G130700	AT1G63830.2	-	PLAC8 family protein	-	-
Potri.003G130800	-	-	-	-	-
Potri.003G130900	AT1G63840.1	-	RING/U-box superfamily protein	-	-
Potri.003G131000	AT1G63850.1	-	BTB/POZ domain-containing protein	-	-
Potri.003G131100	-	-	-	-	-
Potri.003G131200	AT3G05170.1	-	Phosphoglycerate mutase family protein	-	-
